Restaurant Name,Rating,Reviews,Cuisine,Location,Restaurant URL,Image URL,City
Verandah - The Park,4.2,"3,491","North Indian, Continental, Chinese","22, Raj Bhavan Road, The Park, Somajiguda, Hyderabad",https://www.zomato.com/hyderabad/verandah-the-park-somajiguda/info,https://b.zmtcdn.com/data/pictures/7/91727/932a967c3e83a45082a5d993f089bff3_featured_v2.jpg,hyderabad
Aqua - The Park,4.2,"2,497","North Indian, Continental, Fast Food","22, Raj Bhavan Road, The Park, Somajiguda, Hyderabad",https://www.zomato.com/hyderabad/aqua-the-park-somajiguda/info,https://b.zmtcdn.com/data/pictures/8/92578/60882a9661bb01c9fdd4f166ac0366f3_featured_v2.jpg,hyderabad
So The Sky Kitchen,4.4,"3,590","North Indian, Chinese, Asian","Building 550-F92, 4th Floor, Aryans, Medak Hyderabad Road, Jubilee Hills, Hyderabad, Film Nagar, Hyderabad",https://www.zomato.com/hyderabad/so-the-sky-kitchen-film-nagar/info,https://b.zmtcdn.com/data/pictures/2/91732/c1a117e55043682511764b42b800b546_featured_v2.jpg,hyderabad
Authentic Belgian Waffles,0,3,"Desserts, Fast Food, Shake","House 4-7-3/2/A/B/B, Plot 32, Survey 374/1, Near Tara College, Sangareddy, Hyderabad",https://www.zomato.com/hyderabad/authentic-belgian-waffles-sangareddy-hyderabad/info,https://b.zmtcdn.com/data/pictures/chains/7/19825617/059d73de3702b80f459bac6d87ff071a_featured_v2.jpg,hyderabad
Lunar Cafe,4.3,328,"Italian, North Indian, Continental","Madhu Vihar, Rd Number 7, Durga Bhavani Nagar, Women's Welfare Housing Society, Jubilee Hills, Hyderabad",https://www.zomato.com/hyderabad/lunar-cafe-jubilee-hills/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png,hyderabad
Babylon Bar And Kitchen,4.3,"3,800","Asian, Sushi, Chinese","Plot 346, 8-2-193/82/A/346/1, Jubilee Hills, Hyderabad",https://www.zomato.com/hyderabad/babylon-bar-and-kitchen-jubilee-hills/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png,hyderabad
Chubby Cho,4.3,"4,349","Asian, Japanese, Oriental","Plot 1335/A, 3rd Floor, Road 45, Jubilee Hills, Hyderabad",https://www.zomato.com/hyderabad/chubby-cho-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/5/18965675/8aac2e8c10c03071f5bc83a3642e9a54_featured_v2.jpg,hyderabad
The Grandline - World's Largest Buffet,4.1,584,"North Indian, South Indian, Continental","5th Floor, Sarath city capital mall, Whitefields, Kondapur, Hyderabad",https://www.zomato.com/hyderabad/the-grandline-worlds-largest-buffet-kondapur/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png,hyderabad
MOAI,4.5,"3,852","Modern Indian, Alcoholic Beverages, Pasta","Survey 237, Plot 139, Anvaya Conventions Road, Financial District, Hyderabad",https://www.zomato.com/hyderabad/moai-financial-district/info,https://b.zmtcdn.com/data/pictures/8/21819518/fb1aea765438bf1992bf367a05cf9fb8_featured_v2.jpg,hyderabad
The Biere Club,3.9,"5,168","Bar Food, Continental, Italian","20/2, Vittal Mallya Road, Near Lavelle Road, Bangalore",https://www.zomato.com/bangalore/the-biere-club-lavelle-road-bangalore/info,https://b.zmtcdn.com/data/pictures/7/51907/2938efb4eb94a6e8d49ac4be1cf3f5c2_featured_v2.jpg,bangalore
Novakan,3.9,90,"Desserts, Beverages, Continental","11th Floor, No.23/2, Coffee Day Square, Vittal Mallya Road, KG Halli, D' Souza Layout, Ashok Nagar, Lavelle Road, Bangalore",https://www.zomato.com/bangalore/novakan-lavelle-road-bangalore/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png,bangalore
MISU,4.5,"5,635","Chinese, Asian, Thai","1, Sobha Mall, Shanthala Nagar, St. Mark’s Road, Opposite Metercube, Near Ashok Nagar, Bangalore",https://www.zomato.com/bangalore/misu-ashok-nagar-bangalore/info,https://b.zmtcdn.com/data/pictures/4/18494064/cb8c4565c83508703a55db1a0c1d7ee2_featured_v2.jpg,bangalore
Cavore,4.3,72,"Seafood, Continental","20, 21 and 22, MJM Sivam Residency, Shanthala Nagar, Shanti Nagar, Bangalore",https://www.zomato.com/bangalore/cavore-shanti-nagar-bangalore/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png,bangalore
Pangeo,4.3,"5,041","Modern Indian, Continental, Asian","4th Floor No-171-172, Rex Walk, Shanthinagara, Brigade Road, Bangalore",https://www.zomato.com/bangalore/pangeo-brigade-road-bangalore/info,https://b.zmtcdn.com/data/pictures/4/20790444/682bd2211eabb12a9de58e4e1bbc12c5_featured_v2.jpg,bangalore
Cahoots,3.6,"1,311","North Indian, South Indian, Chinese","48/2, 48/3, Brigade Garden, Shanthinagara, Brigade Road, Bangalore",https://www.zomato.com/bangalore/cahoots-brigade-road-bangalore/info,https://b.zmtcdn.com/data/pictures/2/21959252/fba6e2e215dad9f7c1650d19a96fd6ef_featured_v2.jpg,bangalore
Caraway Kitchen,4.1,868,"Asian, Continental, North Indian","Conrad Bengaluru, Kensington Road, Someshwarpura, Ulsoor, Bangalore",https://www.zomato.com/bangalore/caraway-kitchen-ulsoor-bangalore/info,https://b.zmtcdn.com/data/pictures/chains/7/18631077/7e62ba52c618781c36780173155b412a_featured_v2.jpg,bangalore
KAI Bar And Kitchen,4.3,251,"Asian, Continental, Oriental","Du Parc Trinity 17, Mahatma Gandhi Road, Near Bank of Baroda, Craig Park Layout, Ashok Nagar, MG Road, Bangalore",https://www.zomato.com/bangalore/kai-bar-and-kitchen-mg-road-bangalore/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png,bangalore
BRAU GALIE MICROBREWERY,4.7,"1,087","North Indian, South Indian, Biryani","4th B cross, 5th block 25, Koramangala Karnataka, Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/brau-galie-microbrewery-1-koramangala-5th-block-bangalore/info,https://b.zmtcdn.com/data/pictures/0/21796000/0ec844d351bc2a5a85c58f24619e1e00_featured_v2.jpg,bangalore
The Big Fish & Co.,3.9,919,"North Indian, Goan","Shiv Sena Bhavan, Marg, Dadar West, Mumbai",https://www.zomato.com/mumbai/the-big-fish-co-dadar-west/info,https://b.zmtcdn.com/data/pictures/2/21068032/2587b1d1e7225cea6e934c3c2e5583b7_o2_featured_v2.jpg,mumbai
